worksheet_id,customer_type,business_type_name,question,star_level,content,path_name,t1,t2,t3,worksheet_channel,operator_id,HT (Seconds)
t360287970226733271,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Se roban el sendero de los referidos ,Recompensa_Incentivo (no Programa de Referidos)_Monto incorrecto de Incentivo recibido,Recompensa,Incentivo (no Programa de Referidos),Monto incorrecto de Incentivo recibido,EMAIL,1218871,170
t360287970226944694,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Onboarding_vehículos permitidos en DiDi,Duda,Onboarding,vehículos permitidos en DiDi,EMAIL,1225575,133
t360287970227102493,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Capacitar al personal que atiende vía telefónica porque uno dice una cosa otro dice lo contrario y otro mejor agrede para que uno ya no moleste ,Duda_Política_Tarifa de cancelación,Duda,Política,Tarifa de cancelación,EMAIL,1233783,130
t360287970227297671,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,porfavor devuelvanme el dinero que me robaron ya que oo he realizado ningun viaje en su aplicacion y en cuanto la descargue  me hicieron un cobro de 79 pesos que se me dijo que se me regresaría y a la fecha van mas de dos meses que no se me reembolsa . ya mande los estados de cuenta donde se logra ver el cobro que me hicieron y no he recibido resbuesta por parte de su servicio de ayuda .   solo me han dado largas . ,Queja_Sobre el Pago_Me cobró al agregar tarjeta,Queja,Sobre el Pago,Me cobró al agregar tarjeta,EMAIL,1235331,122
t360287970227378978,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Registro_verificación de cuenta por un tercero,Duda,Registro,verificación de cuenta por un tercero,EMAIL,1215231,285
t360287970227382238,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Nunca me dieron solución al problema del viaje_ pésimo servicio ,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1213323,95
t360287970227464123,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1233795,340
t360287970227486642,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1213419,66
t360287970227525383,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,El conductor fue muy amable y no duraron mucho en llegar por mi,Duda_Sobre el Pago_Cambiar método de pago,Duda,Sobre el Pago,Cambiar método de pago,EMAIL,1215231,322
t360287970227579719,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Nunca me llamaron para la reclamacion que realice ,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1215199,318
t360287970227592753,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Sus promociones tanto para el usuario cómo para el conductor felicidades ,Duda_Política_Estandar de Servicio,Duda,Política,Estandar de Servicio,EMAIL,1235855,213
t360287970227617695,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Pago_Inicia y finaliza el viaje,Queja,Sobre el Pago,Inicia y finaliza el viaje,FAQ,1217863,138
t360287970227640759,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Si va a cancelar el viaje el conductor lo haga de inmediato para  que uno como usuario no pierda el tiempo . Gracias ,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1213355,298
t360287970227669103,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1220387,305
t360287970227679378,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Muy buena atención,Duda_Viajes_Safety,Duda,Viajes,Safety,EMAIL,1217863,90
t360287970227774360,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,En mi primer viaje en didi no me hicieron la promocion del viaje y todavia el chofer me pidio una propina no me acuerdo la fecha del viaje,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1215235,257
t360287970227834089,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Pago_No puede realizar pago_Tarjeta sin suficiente saldo,Pago,No puede realizar pago,Tarjeta sin suficiente saldo,EMAIL,1217963,86
t360287970227868795,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,hola un favor esta semana no recivi monto de pago de bono obtenido me gustaria q me ayudaran gracias ,Duda_Operación_Ciudad de lanzamiento,Duda,Operación,Ciudad de lanzamiento,EMAIL,1217975,196
t360287970227942322,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Pasajero_Mala actitud / Mal comportamiento,Queja,Sobre el Pasajero,Mala actitud / Mal comportamiento,EMAIL,1220603,122
t360287970227945561,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1235307,251
t360287970227988046,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,mande una aclaración de un tarifa y no me han resuelto nada no hay carros disponibles en esta plataforma ,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1218567,268
t360287970228058361,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Pésimo servicio a cliente por parte de la empresa Es un asco ,Queja_Sobre el Conductor_Se va por dirección contraria o no mueve para escogerme,Queja,Sobre el Conductor,Se va por dirección contraria o no mueve para escogerme,EMAIL,1218623,256
t360287970228146224,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,No hay soporte solo toman recados,Queja_Política_Tarifa de cancelación,Queja,Política,Tarifa de cancelación,EMAIL,1217527,232
t360287970228151159,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Recompensa_Incentivo (no Programa de Referidos)_Monto incorrecto de Incentivo recibido,Recompensa,Incentivo (no Programa de Referidos),Monto incorrecto de Incentivo recibido,EMAIL,1241039,271
t360287970228179514,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Deberiamos de tener un número de registro para tener un respaldo adicional,Duda_Registro_Documentos para facturación,Duda,Registro,Documentos para facturación,EMAIL,1210455,345
t360287970228221838,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Cargo Doble (en efectivo y tarjeta),Queja,Sobre el Pago,Cargo Doble (en efectivo y tarjeta),EMAIL,1217963,167
t360287970228241798,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,dar respuestas a las fallas de la aplicacion en los cobros de mas. muy molesta con su lentitud a mi reporte. ya estamos a un mes de haberlo enviado y sigo en las mismas,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1218643,360
t360287970228259323,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Operación_¿Cómo aceptar viajes?,Duda,Operación,¿Cómo aceptar viajes?,EMAIL,1218023,205
t360287970228295578,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,buena respuesta en tiempo de espera o de llegada del auto,Queja_Factura_Solicita Factura,Queja,Factura,Solicita Factura,EMAIL,1235383,337
t360287970228421873,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Emergencia_Solicitud de Desbloqueo_Bloqueo de Seguridad,Emergencia,Solicitud de Desbloqueo,Bloqueo de Seguridad,EMAIL,1283599,168
t360287970228434103,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Duda_Compensación_¿Cómo solicito un reembolso?,Duda,Compensación,¿Cómo solicito un reembolso?,EMAIL,1236043,256
t360287970228454531,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Que es económico a diferencia de la competencia,Queja_Sobre el Pago_Cómo funciona la tarifa de cancelación,Queja,Sobre el Pago,Cómo funciona la tarifa de cancelación,SELF HELP,-,0
t360287970228456820,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Pago_Cargo Doble (en efectivo y tarjeta),Queja,Sobre el Pago,Cargo Doble (en efectivo y tarjeta),EMAIL,1220579,169
t360287970228485518,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Que la tarifa sea fija y que los conductores respeten lo que marca la aplicación y no sean rateros ,Duda_Viajes_Safety,Duda,Viajes,Safety,EMAIL,1233975,322
t360287970228489768,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Amabilidad y disipación de dudas al momento. ,Queja_Operación_TAG,Queja,Operación,TAG,EMAIL,1241039,262
t360287970228493412,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1220579,248
t360287970228498815,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Cargo Doble (dos veces a la tarjeta),Queja,Sobre el Pago,Cargo Doble (dos veces a la tarjeta),EMAIL,1213191,83
t360287970228500720,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,La disponibilidad_ no tardan para llegar al punto de partida ,Duda_Referir_Reglas,Duda,Referir,Reglas,EMAIL,1213191,70
t360287970228505357,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,En realidad sólo fue como una consulta sicológica ya que solo me.dijeron que lo sentían pero no resolvieron el problema,Emergencia_Queja_Drogado / Ebrio,Emergencia,Queja,Drogado / Ebrio,EMAIL,1235307,353
t360287970228512452,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Sobre el Pasajero_Cómo calificar al pasajero,Duda,Sobre el Pasajero,Cómo calificar al pasajero,EMAIL,1241039,104
t360287970228517776,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Brindar más capacitación a sus conductores ya que les falta dar mejor atención y servicio. Y en su app poner una opción donde permita realizar una queja inmediata para situaciones que se presentan durante el viaje o después de ell msmo ,Queja_App_No puede cancelar el viaje (antes de que Conductor acepte el viaje),Queja,App,No puede cancelar el viaje (antes de que Conductor acepte el viaje),EMAIL,1218427,309
t360287970228520316,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Política_Requisitos del vehículo,Duda,Política,Requisitos del vehículo,EMAIL,1241039,81
t360287970228543724,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Eepsenten las tarifas y den atención a las quejas ,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1213391,348
t360287970228548723,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_Sobre el Pago_Me cobró antes de iniciar el viaje,Queja,Sobre el Pago,Me cobró antes de iniciar el viaje,EMAIL,1213191,171
t360287970228576583,passenger,Share,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1235399,156
t360287970228578018,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,Buen servicio y barato ,Emergencia_Queja_Maneja peligrosamente,Emergencia,Queja,Maneja peligrosamente,EMAIL,1207731,161
t360287970228583695,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,No puede ser posible que no te contesten cuando olvidas un objeto _ si están lejos porque cancelan los viajes se supone que por eso se dedican a trabajar de chóferes,Reporte_Objetos Perdidos _¿Cómo contactar al Conductor?,Reporte,Objetos Perdidos ,¿Cómo contactar al Conductor?,EMAIL,1207731,303
t360287970228590718,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,En un viaje el chófer no finalizó y me cobraron el doble_ envié un correo para solicitar reembolso y no me han contestado....,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1213811,176
t360287970228608471,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,,Duda_Cupón_Cómo usar el Cupón,Duda,Cupón,Cómo usar el Cupón,EMAIL,1220635,271
t360287970228609652,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,,Duda_Viajes_Safety,Duda,Viajes,Safety,EMAIL,1218023,200
t360287970228618039,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Los contacte varias veces apara un olvido en un viaje y no son capaces ni siquiera de contactarme de regreso_ un verdadero desastre y pésimo servicio al cliente ,Queja_Política_Solicitud irrazonable,Queja,Política,Solicitud irrazonable,EMAIL,1218407,252
t360287970228664152,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,EMAIL,1218595,292
t360287970228704326,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Mi reembolso van tres viajes que reporto que me cobran mucho más de lo marcado y no transcurrió más tiempo ni distancia ni tráfico no es posible,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1218607,78
t360287970228729783,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,llego muy rápido_ muy atento el muchacho y mas barato que otras compañías,Duda_App_Cómo descargar,Duda,App,Cómo descargar,EMAIL,1218607,184
t360287970228747363,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Política_Pago en efectivo,Duda,Política,Pago en efectivo,EMAIL,1218407,326
t360287970228759425,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,la atencion telefonica inmediata,Queja_Viajes_Tarda mucho en llegar el DiDi,Queja,Viajes,Tarda mucho en llegar el DiDi,EMAIL,1213419,144
